,Acuracia,Especificidade,Similaridade,grupo
370,0.625,0.7142857142857143,0.8816620300447741,CV
371,0.8333333333333334,0.88,0.8131571126147261,CV
372,0.875,0.0,0.8277650282805242,CV
373,0.8125,0.6666666666666667,0.8528997913607468,CV
374,0.5625,1.0,0.8300746824145888,CV
375,0.625,0.0,0.8120168273192303,CV
376,0.75,0.5,0.883125158161351,CV
377,0.84,0.9166666666666666,0.8373983252050243,CV
378,0.8641975308641975,0.9,0.8009894870819726,CV
379,0.6875,0.5714285714285714,0.7800134951599099,CV
380,0.75,0.4,0.8401388774085707,CV
381,0.875,0.0,0.8277650282805242,CV
382,0.625,0.3333333333333333,0.7445023854052876,CV
383,0.6666666666666666,0.7,0.8205854173245266,CV
384,0.9166666666666666,1.0,0.8343058507453917,CV
385,0.88,0.9090909090909092,0.7853186591606458,CV
386,0.8641975308641975,0.8970588235294118,0.7836013066298052,CV
387,0.68,0.6428571428571428,0.7579680097972268,CV
388,0.5,0.2857142857142857,0.8621737952702888,CV
389,0.7222222222222222,0.72,0.7902633289178096,CV
390,0.9375,0.5,0.901140347257844,CV
391,0.6875,0.3333333333333333,0.8311764712721932,CV
392,0.8125,1.0,0.9259416862330891,CV
393,0.88,1.0,0.8392543274162825,CV
394,0.75,0.5,0.8628708445067482,CV
395,0.76,0.8333333333333334,0.8237306052901903,CV
396,0.6875,0.8,0.834489938099989,CV
397,0.6875,0.5714285714285714,0.8167949535234437,CV
398,0.84375,0.8867924528301887,0.8406055240472927,CV
399,0.6111111111111112,0.5909090909090908,0.8423195726346616,CV
400,0.8125,0.6666666666666667,0.802022209896544,CV
401,0.6111111111111112,0.75,0.7167016130760362,CV
402,0.5625,0.0,0.8853603087185355,CV
403,0.6875,0.5,0.8655962321421531,CV
404,0.8055555555555556,0.9130434782608696,0.7879189847507243,CV
405,0.4375,0.1999999999999999,0.8678352812105575,CV
406,0.6875,0.5714285714285714,0.8610567718228918,CV
407,0.7551020408163265,0.8157894736842105,0.8075728530872482,CV
408,0.7551020408163265,0.8571428571428572,0.8269145852239429,CV
409,0.8125,1.0,0.7985685229862601,CV
410,0.8125,0.9166666666666666,0.8355467059789898,CV
411,0.8163265306122449,0.9142857142857144,0.781166566864507,CV
412,0.75,0.5,0.8416668462125566,CV
413,0.8024691358024691,0.8529411764705882,0.774796797566549,CV
414,0.375,0.4,0.8125,CV
415,0.75,0.5714285714285714,0.8921320713901825,CV
416,0.8760330578512396,0.9090909090909092,0.769800358919501,CV
417,0.6938775510204082,0.7714285714285715,0.7844645405527361,CV
418,0.6111111111111112,0.6956521739130435,0.8441040130225311,CV
419,0.4375,1.0,0.8562037418416334,CV
420,0.75,0.5,0.9011289459621018,CV
421,0.4375,0.0,0.7162672637385072,CV
422,0.7551020408163265,0.8333333333333334,0.8684111532186138,CV
423,0.8125,0.8679245283018868,0.7999310632062947,CV
424,0.375,0.2857142857142857,0.7122445697957627,CV
425,0.8765432098765432,0.9142857142857144,0.8977310580745099,CV
426,0.8163265306122449,0.8857142857142857,0.8702032585557696,CV
427,0.75,0.3333333333333333,0.7953864780766137,CV
428,0.48,0.5555555555555556,0.7610173939281722,CV
429,0.625,0.5,0.8449288964361521,CV
430,0.52,0.6363636363636364,0.8515471954006396,CV
431,0.5625,0.0,0.7694875639743057,CV
432,0.9166666666666666,0.88,0.7601258199376748,CV
433,0.6875,0.5714285714285714,0.8488382153210785,CV
434,0.6938775510204082,0.7894736842105263,0.873326063219467,CV
435,0.7346938775510204,0.8285714285714285,0.8235321051453478,CV
436,0.6875,0.6666666666666667,0.7974439174854218,CV
437,0.7551020408163265,0.8787878787878788,0.8952554570608475,CV
438,0.64,0.7272727272727273,0.9156060036663072,CV
439,0.625,0.0,0.809707437474345,CV
